_id,brand,batteryCharge,status,helmets,extraFeatures,damages,isClean,rides,kms,location.type,location.coordinates
UVM1JA6JYX,BH,63.67,reserved,1,"['absBrakes', 'helmetDetection']",[],True,20,56.29445769795373,Point,"[-3.6966408669321074, 40.46964331867826]"
DKII4C7C9Y,Vandor,8.28,out,1,"['lamps', 'absBrakes']",[],False,26,79.87588402366917,Point,"[-3.7048024153462924, 40.41268505327633]"
D8ZQB7GFVW,Vandor,0.0,out,2,"['lamps', 'helmetDetection', 'absBrakes']",[],True,27,76.3418238858571,Point,"[-3.702986837071154, 40.44810640985701]"
PRCUZG8DJZ,BH,39.31,reserved,2,"['absBrakes', 'helmetDetection', 'locker']",[],True,13,37.50285371746393,Point,"[-3.6762062207495068, 40.45498979567525]"
IKJNKOB7I5,Orbea,71.64,moving,1,"['locker', 'absBrakes']",[],False,10,31.01705427592586,Point,"[-3.659452449148703, 40.452712488216406]"
RKYFCAHX4U,Orbea,25.39,reserved,1,[],[],True,14,43.992063074018944,Point,"[-3.70791604722279, 40.46275494165267]"
J3EE4Z09FQ,BH,35.95,reserved,1,['helmetDetection'],['flatTire'],True,19,55.10336761609521,Point,"[-3.654258545250004, 40.409874638282666]"
PLV5OHYY36,BH,82.85,moving,1,"['helmetDetection', 'absBrakes', 'locker', 'lamps']",[],False,15,45.695135895014126,Point,"[-3.684817327783506, 40.45204007058757]"
NUM066H9G4,Orbea,41.62,reserved,1,"['absBrakes', 'locker']",['brokenLamp'],True,20,59.22425317741303,Point,"[-3.6845455860366805, 40.40515681637751]"
SV5MKX9W2Z,BH,46.86,reserved,1,"['absBrakes', 'lamps', 'helmetDetection']",[],True,18,51.76525450278717,Point,"[-3.7176636341506746, 40.41624588817805]"
BH1IJBH1PC,Vandor,29.16,free,1,"['helmetDetection', 'absBrakes', 'locker', 'lamps']",[],True,22,61.83665813775311,Point,"[-3.7112242820394274, 40.46204764505145]"
7IQDY0ROQU,Orbea,70.83,reserved,1,"['absBrakes', 'helmetDetection', 'lamps']",['brokenLamp'],False,28,80.27330229376415,Point,"[-3.6832550239408524, 40.428392829404004]"
T6QIB4MZV4,Vandor,93.76,moving,1,"['lamps', 'absBrakes', 'helmetDetection']",[],True,18,50.74190604637226,Point,"[-3.6977574924730274, 40.470684793358586]"
J60OAD1CI6,Vandor,62.63,reserved,1,"['absBrakes', 'locker']",[],True,15,48.84067816679445,Point,"[-3.7220412389575195, 40.41383455646675]"
BDZI9T0Z8D,BH,56.06,reserved,1,"['absBrakes', 'locker', 'lamps', 'helmetDetection']",[],True,24,74.67104148786761,Point,"[-3.677526364766361, 40.44957548026569]"
B76HCWCXLV,BH,94.7,moving,1,"['locker', 'helmetDetection']",[],True,16,51.22833099056432,Point,"[-3.662236348357286, 40.46268250177483]"
NLWPF85NSY,BH,31.53,reserved,1,"['helmetDetection', 'locker', 'lamps']",[],True,18,54.263814771113566,Point,"[-3.646443844995547, 40.40239110024722]"
FI0LMBW84I,Vandor,0.0,out,1,"['locker', 'helmetDetection', 'lamps', 'absBrakes']",[],True,28,85.13895037908043,Point,"[-3.655246741963421, 40.453907643171824]"
M971ZQ4BWW,Vandor,21.52,reserved,1,[],[],False,22,61.91213167989425,Point,"[-3.726639406199706, 40.41563860324211]"
QQ9YKPH7K5,BH,0.0,out,1,['locker'],['stolenHelmet'],True,23,72.78202880548467,Point,"[-3.6702413321494403, 40.454500948918636]"
M54Q6ZI5RL,BH,70.7,out,1,['lamps'],[],False,22,58.8518406756562,Point,"[-3.690403552955744, 40.450620504602085]"
HGTFYNQYO3,Vandor,18.66,reserved,1,"['lamps', 'locker', 'absBrakes', 'helmetDetection']",[],True,23,67.70832606918022,Point,"[-3.677487299904637, 40.462295711943874]"
Z1ZT49XT0K,Vandor,31.04,moving,2,"['locker', 'helmetDetection']",[],True,18,53.553021375985445,Point,"[-3.6992439002456803, 40.416794197303155]"
26K8GIX16I,Vandor,0.0,out,1,"['lamps', 'absBrakes']",[],True,13,39.974164283797,Point,"[-3.6656499934336026, 40.4184712259287]"
PWZGRY9WCV,Orbea,15.92,free,1,"['helmetDetection', 'lamps', 'locker']",[],False,25,74.8894141397913,Point,"[-3.6443849931055468, 40.402653954974134]"
QUQQSY6B56,BH,3.63,out,1,[],['flatTire'],False,14,42.48677554661858,Point,"[-3.719999075828953, 40.431535711303994]"
JEVMCB54E7,Orbea,0.0,out,1,[],[],False,21,64.69902044469573,Point,"[-3.652765214806933, 40.471225871878644]"
9K4PF7QGDY,BH,14.08,free,1,"['helmetDetection', 'locker', 'absBrakes', 'lamps']",[],True,23,68.54171338653343,Point,"[-3.7176851183739235, 40.403520077663444]"
HT2LHD3779,Orbea,87.01,out,1,['helmetDetection'],[],True,22,72.56821680533827,Point,"[-3.698695810182832, 40.44674627522358]"
NWXGGY5IV7,Orbea,44.4,free,1,['locker'],[],True,17,46.78510979237098,Point,"[-3.69189908071183, 40.406483706010896]"
2AUJ0BTLKF,Vandor,86.99,moving,1,"['locker', 'lamps']",[],True,17,51.10479209711978,Point,"[-3.7155212555230253, 40.449369154433846]"
29GKKD2QN8,BH,75.47,free,2,"['helmetDetection', 'lamps', 'locker', 'absBrakes']",[],True,23,73.35519652423811,Point,"[-3.6786807432679867, 40.43989712235075]"
YH5KYO0YI9,BH,36.26,reserved,1,"['locker', 'lamps', 'helmetDetection']",[],True,30,88.96126659593392,Point,"[-3.6829098747124984, 40.44950363450466]"
E3Z4UT4JSC,BH,17.75,free,1,"['lamps', 'absBrakes', 'helmetDetection', 'locker']",[],True,16,53.0063179858065,Point,"[-3.7077007945020184, 40.46721556433243]"
RVQ2BVUPWX,Vandor,62.85,free,1,[],[],True,22,63.90655497665622,Point,"[-3.6601951273430084, 40.423189253887855]"
SZ7D3PZQ9T,Vandor,97.42,free,1,"['lamps', 'absBrakes']",['flatTire'],False,31,94.17094292840434,Point,"[-3.6890407944795665, 40.43932722994734]"
SEV4VQVOD7,Orbea,0.0,out,1,[],[],True,15,45.50286792834428,Point,"[-3.682950393596181, 40.424013103965585]"
MXQJN7LI6H,BH,9.61,moving,2,"['lamps', 'helmetDetection', 'locker']","['scratches', 'flatTire']",True,16,48.07903323743547,Point,"[-3.6877105819376137, 40.427074203079364]"
B5IRNXAS1O,Orbea,38.69,reserved,1,"['absBrakes', 'locker', 'lamps']",[],True,25,75.2930654375385,Point,"[-3.6735586688048674, 40.45572138865291]"
Z8HG9MNU9Z,Orbea,64.57,reserved,1,['locker'],[],True,10,31.657420174261805,Point,"[-3.719586975144251, 40.4152574818272]"
CGUVHSGPTE,BH,22.5,free,1,"['locker', 'absBrakes', 'helmetDetection', 'lamps']",[],True,13,35.55792366882455,Point,"[-3.6668981890723984, 40.4098183741152]"
BXC1B9BDD0,Vandor,2.63,free,1,[],['brokenLamp'],True,26,78.10925736807005,Point,"[-3.691698039140152, 40.42898242488213]"
3PR7XZE42G,BH,60.39,moving,1,"['helmetDetection', 'locker', 'lamps']",[],True,17,53.94020706174702,Point,"[-3.699097637521236, 40.431649067237096]"
7N9ZURODUR,Orbea,2.29,free,1,['locker'],[],True,24,77.76548717888714,Point,"[-3.6508716609596834, 40.41863126378471]"
MS9NQD6XSY,Orbea,20.7,free,1,[],[],True,16,52.158218681881635,Point,"[-3.691068375421997, 40.39924124028283]"
OCGW3MTSGA,Vandor,82.15,reserved,2,[],[],True,19,60.739780249831114,Point,"[-3.6833822334866824, 40.45620536950483]"
8394RLA1WT,BH,0.0,out,2,"['absBrakes', 'lamps', 'helmetDetection']","['brokenLamp', 'flatTire']",True,18,60.35539685272177,Point,"[-3.645474662338273, 40.432221488315264]"
XZHLD09BRU,Vandor,81.54,out,1,[],[],True,24,65.14297603995333,Point,"[-3.7195202752501175, 40.47522880623086]"
G9CXJKW30V,BH,42.76,moving,2,"['lamps', 'locker', 'helmetDetection', 'absBrakes']",[],True,13,36.3576860456214,Point,"[-3.6700045125235197, 40.47679261202762]"
J348UAXBF3,BH,5.83,reserved,1,"['lamps', 'absBrakes', 'locker', 'helmetDetection']",[],True,20,60.48030347324648,Point,"[-3.7188289418512186, 40.47130196298065]"
ZJ085GQ1WX,BH,45.76,moving,1,"['locker', 'lamps', 'absBrakes']",[],True,19,52.439359809059056,Point,"[-3.7261606440673787, 40.40624982868464]"
EF8SS1V3HW,Orbea,63.76,moving,1,"['absBrakes', 'helmetDetection', 'lamps', 'locker']",[],True,19,61.400396721896705,Point,"[-3.7252914575193463, 40.45979226007947]"
T5YRO9X7GU,BH,77.34,moving,1,"['locker', 'lamps']","['brokenLamp', 'flatTire']",True,27,82.06895082628765,Point,"[-3.6757246703918267, 40.44775547943969]"
8AXV2N30U1,BH,77.69,free,2,['helmetDetection'],[],False,19,58.06060554837632,Point,"[-3.7271231542050702, 40.43789260475067]"
EW51VBCH42,BH,0.0,out,1,"['lamps', 'helmetDetection', 'locker', 'absBrakes']",[],True,20,63.343226991353404,Point,"[-3.6637686973778467, 40.46437217297493]"
0IIYX78MNW,Orbea,4.99,moving,2,"['locker', 'absBrakes']",[],True,15,51.758723527652755,Point,"[-3.6696399562111544, 40.47545617108394]"
PWWUK0MZDB,BH,59.61,out,1,[],[],True,21,68.19877759451165,Point,"[-3.6580878269542216, 40.455687914841896]"
53DT894X4I,BH,44.95,reserved,1,"['helmetDetection', 'locker']",[],True,22,59.23843607326141,Point,"[-3.6457894844302388, 40.47444021058029]"
R74T2SMVNI,Orbea,22.26,out,1,"['locker', 'lamps', 'absBrakes']",[],True,18,53.10917518162108,Point,"[-3.6435102288151633, 40.429546851464075]"
AHJIQRIPKW,Vandor,75.53,reserved,1,"['locker', 'absBrakes']",[],True,17,46.51669370501108,Point,"[-3.6558583027048326, 40.40255500773292]"
PBF9GT1YSU,Orbea,69.92,free,2,[],[],True,19,58.79539319915321,Point,"[-3.6544249371264463, 40.43147538988733]"
U9OCBRZJOO,Vandor,86.33,reserved,1,['helmetDetection'],[],True,33,99.4532174030521,Point,"[-3.663045551217048, 40.47417818259285]"
8VNISFIDVD,BH,61.42,free,1,['helmetDetection'],[],True,15,45.607573035555326,Point,"[-3.711130264897236, 40.43362545804381]"
6EB0WMNV1G,Orbea,96.74,reserved,2,['helmetDetection'],[],True,19,57.91084532268619,Point,"[-3.714199526337457, 40.429051778359415]"
H0VOVVWXJU,Vandor,88.83,reserved,1,"['locker', 'lamps', 'helmetDetection']",[],False,18,48.64138498273563,Point,"[-3.673424875532351, 40.449141217073844]"
3MXRCIAX2S,Orbea,89.07,out,2,"['absBrakes', 'helmetDetection', 'locker']",[],False,23,73.4712066790111,Point,"[-3.646251346885157, 40.41303725701324]"
OS4BPBHBV1,Orbea,14.02,moving,1,"['lamps', 'absBrakes', 'locker', 'helmetDetection']",[],True,26,85.52427501351714,Point,"[-3.705321698435558, 40.459204297645144]"
06O3FA47CU,Vandor,98.33,out,1,"['helmetDetection', 'absBrakes', 'lamps', 'locker']",[],False,14,40.00199279499207,Point,"[-3.6629666199847173, 40.455241775077845]"
YC9A6P8XBI,BH,40.91,reserved,1,"['lamps', 'locker', 'helmetDetection']",[],True,26,87.12401889339611,Point,"[-3.7150827097210777, 40.45492696219239]"
ZZLBDEG5GE,Vandor,0.0,out,1,"['lamps', 'absBrakes', 'helmetDetection', 'locker']",[],True,16,43.90687065193135,Point,"[-3.6778289943173457, 40.44871077537203]"
TYPBJ9RLZT,BH,96.02,out,1,"['locker', 'lamps', 'helmetDetection', 'absBrakes']",['scratches'],True,21,60.05888674141126,Point,"[-3.669454929791784, 40.44326909305253]"
EVI1HHNGLM,Vandor,93.9,reserved,1,"['helmetDetection', 'absBrakes']",[],False,19,54.69856529738739,Point,"[-3.6476725245599506, 40.420526703618705]"
W7VIVJHWFR,BH,31.37,out,1,['helmetDetection'],"['flatTire', 'brokenLamp']",True,26,75.97353853510995,Point,"[-3.6845447731029286, 40.464936443487495]"
OO904LC7RS,Vandor,42.66,moving,1,"['lamps', 'absBrakes', 'locker', 'helmetDetection']",[],True,20,55.35390368066124,Point,"[-3.7236563622271035, 40.41870461508509]"
WF6RBIDE9V,BH,24.6,moving,1,"['helmetDetection', 'lamps', 'absBrakes']",[],True,16,46.940003570546615,Point,"[-3.6985165275770218, 40.433340682936226]"
0HYNCN5V6O,Vandor,71.33,free,2,"['lamps', 'helmetDetection']",[],False,21,61.14018037729858,Point,"[-3.7061507312664648, 40.4364233696646]"
YSPI9GW9NM,BH,82.13,out,1,[],['stolenHelmet'],True,25,70.50546065087391,Point,"[-3.673734551898271, 40.43330685737964]"
AO8EPFL02P,BH,67.13,free,2,['helmetDetection'],[],True,30,107.4757897545678,Point,"[-3.660198410651044, 40.39935212130643]"
8PJ1TJNQ3S,BH,71.12,reserved,1,"['lamps', 'helmetDetection', 'locker', 'absBrakes']",[],True,14,44.64607762729219,Point,"[-3.6700024902357504, 40.41825511093861]"
QOTD7JOWVM,Orbea,96.17,moving,2,['lamps'],[],False,20,60.512128856821136,Point,"[-3.6905317155796995, 40.40236383023325]"
SQANOO3AFZ,Orbea,0.0,out,1,"['locker', 'helmetDetection']",[],False,18,48.25145070972549,Point,"[-3.6854053779787543, 40.43440822571789]"
R0G5J1AWL4,Vandor,71.35,reserved,1,"['lamps', 'absBrakes', 'locker']",[],False,14,44.92942520318229,Point,"[-3.65551784074655, 40.436244574640284]"
HWDFJHGY5Y,Vandor,0.0,out,1,['locker'],[],True,14,36.97726915815078,Point,"[-3.699364195148857, 40.41415044157932]"
T10CM9E5LO,BH,1.26,moving,2,[],"['flatTire', 'stolenHelmet']",False,18,52.46774979864868,Point,"[-3.7091023798695613, 40.46731536811315]"
WA1YY40UJA,Vandor,94.81,out,1,"['helmetDetection', 'locker', 'lamps', 'absBrakes']",[],True,17,53.149685938948245,Point,"[-3.6858379042252185, 40.46565328904396]"
9VGEILWIQ7,BH,86.58,moving,1,"['helmetDetection', 'lamps']",[],True,19,57.07338708565765,Point,"[-3.697743442151223, 40.42212032805976]"
95BS1BMFPS,Orbea,95.08,moving,1,"['helmetDetection', 'absBrakes', 'locker']",[],True,19,53.29915180006405,Point,"[-3.6782493613685068, 40.45119019461121]"
S2A7Q8HANL,Orbea,50.85,moving,1,"['helmetDetection', 'locker']",[],True,13,41.168542913494754,Point,"[-3.6450107861589194, 40.456091957543144]"
H03200FANT,Vandor,88.92,free,1,[],[],True,16,48.50430796238464,Point,"[-3.6825176598793923, 40.44790187331343]"
1N5FGR0ISM,Vandor,99.92,free,1,"['absBrakes', 'locker', 'helmetDetection']",[],True,22,66.18472782713572,Point,"[-3.6471008901301243, 40.41618828404165]"
EBQOUFJO60,Vandor,7.35,moving,1,"['helmetDetection', 'lamps', 'absBrakes', 'locker']",[],True,15,45.359508961346506,Point,"[-3.6770727983904496, 40.43241292267609]"
RS79R94ZQ9,Vandor,7.61,moving,2,"['lamps', 'helmetDetection']",[],True,16,55.06577799018492,Point,"[-3.6560898891837152, 40.46439716422151]"
2Y49T5N1UB,Orbea,29.4,moving,2,"['lamps', 'absBrakes', 'locker']",[],True,19,55.499116630870226,Point,"[-3.7106365388333735, 40.41573805917546]"
04YWRCPRM9,BH,2.76,moving,1,"['helmetDetection', 'locker', 'absBrakes', 'lamps']",[],False,20,56.652211723310586,Point,"[-3.6727664755007434, 40.40485602976304]"
WICKRWVPR0,BH,80.61,free,1,"['absBrakes', 'helmetDetection']","['scratches', 'stolenHelmet']",True,24,71.03831247579377,Point,"[-3.7107441583170453, 40.45243498715818]"
V3IAM1NER7,BH,38.48,moving,2,"['lamps', 'locker']",[],False,15,47.38638011159742,Point,"[-3.718599387311388, 40.42886204219729]"
K5XGBYB0RQ,Orbea,0.0,out,1,[],[],True,20,64.12103030765981,Point,"[-3.671133761322858, 40.456822405354984]"
5PBVE4ZL3C,BH,87.97,reserved,1,['absBrakes'],[],False,14,40.568911359611114,Point,"[-3.726771929428001, 40.45401760297483]"
MV13VRZ4F1,Vandor,64.94,out,1,"['lamps', 'helmetDetection']",[],True,23,67.15490234647697,Point,"[-3.647574259407966, 40.43717953757642]"
VB0CS30PIH,Vandor,89.79,reserved,1,['locker'],[],True,29,83.02751702733777,Point,"[-3.6678704861984994, 40.44056034211555]"
L11SY15FIS,Vandor,94.64,out,2,[],[],True,14,42.857350510832624,Point,"[-3.70735423181483, 40.42449963966036]"
8V60C6SRAI,BH,49.35,reserved,1,['absBrakes'],[],True,19,52.26828395149543,Point,"[-3.723069674491437, 40.41259080852273]"
DMNLYQT9OC,BH,9.24,free,1,['helmetDetection'],['flatTire'],True,22,57.52785113844931,Point,"[-3.653299819129247, 40.47422332494318]"
X5YYQRYMA5,Orbea,65.14,reserved,1,[],[],False,15,46.628589641511184,Point,"[-3.7036740540155746, 40.440337833497416]"
E7UU6WVRX2,Vandor,41.65,reserved,2,"['absBrakes', 'locker', 'lamps']",[],True,22,63.155085535999945,Point,"[-3.651475663510839, 40.46543821489495]"
PWOLQFVKFG,BH,36.06,out,1,"['absBrakes', 'lamps', 'locker', 'helmetDetection']",[],True,21,57.44537286065209,Point,"[-3.6595519894225497, 40.40541265575161]"
ZWBROMFPJY,Orbea,59.76,moving,1,"['locker', 'lamps', 'helmetDetection']",[],True,27,85.7684806987635,Point,"[-3.6807647910960752, 40.4228813987308]"
BG4L3BLQ46,Vandor,85.59,free,1,"['locker', 'helmetDetection']",['flatTire'],True,12,37.59689752485066,Point,"[-3.7196793037533182, 40.46090047222008]"
MENQNI8AQG,BH,61.4,out,1,"['absBrakes', 'helmetDetection']",[],True,20,52.477782423106945,Point,"[-3.725441562191879, 40.47518973350609]"
NBREISRKCE,BH,77.23,reserved,1,"['helmetDetection', 'lamps', 'locker', 'absBrakes']",[],True,19,57.809653334271395,Point,"[-3.695085550707071, 40.401430946588114]"
L5WSLM4L0B,Orbea,74.19,free,1,"['lamps', 'locker', 'absBrakes', 'helmetDetection']",[],True,14,38.101653046321005,Point,"[-3.6928910306115657, 40.40936711213271]"
4LNTYJKDKM,Vandor,0.0,out,1,['absBrakes'],"['scratches', 'flatTire']",True,18,56.408315745671814,Point,"[-3.693174020393128, 40.415078144177365]"
8S33G24DBI,Orbea,23.92,free,1,"['absBrakes', 'helmetDetection', 'locker', 'lamps']",[],True,16,45.63484443869847,Point,"[-3.6581083117425455, 40.47261485330973]"
81RX1GGKWW,Orbea,68.0,reserved,1,"['locker', 'absBrakes', 'helmetDetection']",[],True,19,63.20102961950182,Point,"[-3.669361579996234, 40.47526459532425]"
G57V0XWX43,BH,0.0,out,1,"['locker', 'absBrakes', 'lamps', 'helmetDetection']",[],True,14,43.47302466901912,Point,"[-3.6997329703083537, 40.402131763206384]"
1V3UV6A97M,Vandor,4.74,free,1,"['helmetDetection', 'locker', 'absBrakes']",[],True,17,45.96560386041726,Point,"[-3.6881643426909156, 40.430850459010415]"
6DAF8AOIBW,Vandor,37.26,out,1,[],[],False,22,59.30169893036863,Point,"[-3.673735606171253, 40.462185592375235]"
XVAACY6Y69,Vandor,70.8,out,1,"['absBrakes', 'locker']",[],True,16,53.4285321922426,Point,"[-3.6872742721744745, 40.46102281362415]"
MFHYGRJ8M0,BH,46.14,free,1,"['absBrakes', 'helmetDetection', 'locker']",[],True,11,30.79500175302505,Point,"[-3.7094884890030584, 40.44686697379924]"
345OA8PSVO,Orbea,80.01,free,2,['helmetDetection'],[],True,16,49.40363036514707,Point,"[-3.69271707602528, 40.444910052183324]"
SLT1QASO3K,BH,66.39,out,1,"['helmetDetection', 'absBrakes', 'lamps', 'locker']",[],False,24,72.02992940518777,Point,"[-3.7243375406031998, 40.42093403837999]"
B89OOX28DA,Vandor,40.5,free,1,"['lamps', 'locker', 'helmetDetection']",[],True,15,46.78818586785144,Point,"[-3.7094699513785816, 40.456952145628044]"
BPGBW3MUAQ,Orbea,6.2,out,1,"['helmetDetection', 'locker', 'lamps', 'absBrakes']",[],True,11,34.60236490367941,Point,"[-3.7033742611862923, 40.402991230795735]"
UQ2WHVYMMX,BH,93.26,moving,2,"['absBrakes', 'helmetDetection', 'locker']",[],False,22,66.14390398693133,Point,"[-3.6682769059417093, 40.42607243664716]"
Y3V0YH03S4,BH,64.16,moving,1,[],[],True,24,75.9151970965074,Point,"[-3.693015500658177, 40.42355340478014]"
WYYURO5UTU,Orbea,0.0,out,2,"['locker', 'helmetDetection', 'absBrakes']","['stolenHelmet', 'brokenLamp']",True,13,35.804834522848424,Point,"[-3.7242778174080886, 40.473691568396745]"
I4NS8QM4WW,BH,48.89,moving,1,"['locker', 'absBrakes', 'lamps', 'helmetDetection']","['flatTire', 'stolenHelmet']",True,27,83.02499652597368,Point,"[-3.6809768641805065, 40.44288053709389]"
Q3C7ULJ83M,Orbea,99.85,moving,2,[],['scratches'],True,16,52.21423910126143,Point,"[-3.6806508114919563, 40.407871423422115]"
GBGJBSLDO6,Orbea,5.79,reserved,1,"['lamps', 'locker', 'absBrakes', 'helmetDetection']",['scratches'],True,30,96.26548635834756,Point,"[-3.701496045518659, 40.463769259771595]"
087RB4OF8A,Orbea,64.79,moving,1,[],[],True,27,81.53605545698797,Point,"[-3.6893213267800715, 40.463362102756896]"
HM0QJR5LZM,BH,50.36,out,1,"['helmetDetection', 'absBrakes', 'locker']",[],True,24,63.3665626075216,Point,"[-3.721790277511573, 40.40107495007174]"
YD9730PFWU,BH,8.35,out,1,"['absBrakes', 'lamps', 'helmetDetection']",['stolenHelmet'],True,17,46.56889690786571,Point,"[-3.680199170464087, 40.403290396192055]"
WJ1R09KL0D,Vandor,75.91,free,1,[],[],True,20,64.66799681835677,Point,"[-3.7099026287650307, 40.42245828057969]"
4LL6Q2GE3W,Orbea,8.51,reserved,2,"['helmetDetection', 'locker', 'absBrakes']",[],True,18,58.415302015013914,Point,"[-3.6431006515472304, 40.42543522065347]"
L4GH8882J7,Vandor,52.62,reserved,1,['absBrakes'],[],True,30,97.55350164869645,Point,"[-3.651398080961145, 40.44243617368627]"
MAGGMHD0QI,Orbea,54.89,out,1,"['helmetDetection', 'lamps', 'locker', 'absBrakes']",[],True,21,62.077471553971776,Point,"[-3.715421290955916, 40.43443452895034]"
VNHNY3J4QA,Vandor,83.94,moving,1,"['locker', 'absBrakes']",['brokenLamp'],False,14,40.61751361534932,Point,"[-3.6872192364331924, 40.43382444866601]"
87BSLC6A9W,Vandor,0.0,out,1,[],[],True,16,48.810045722142966,Point,"[-3.6597512619332697, 40.47031331169566]"
3A8SXW9PD0,Orbea,5.32,free,1,"['helmetDetection', 'absBrakes', 'lamps', 'locker']",['flatTire'],False,29,78.52669330786561,Point,"[-3.6747651796776246, 40.47024613682002]"
6RFLBJT5PL,Vandor,37.38,moving,2,"['helmetDetection', 'lamps', 'absBrakes', 'locker']",['brokenLamp'],True,26,75.88386002032733,Point,"[-3.6814201108802553, 40.40299042186174]"
5FZ9GOGW97,Orbea,12.72,out,1,['helmetDetection'],[],True,22,65.02803545460208,Point,"[-3.699538127347972, 40.424503907760304]"
4DVDBVB588,Vandor,29.52,moving,1,"['lamps', 'helmetDetection', 'absBrakes', 'locker']",['stolenHelmet'],True,26,79.20215425856105,Point,"[-3.6804114539028525, 40.400314331411884]"
V5H96K8Q45,BH,85.99,moving,1,[],[],True,17,45.48613148921476,Point,"[-3.6634735433815457, 40.45318580811371]"
M3WE43XC7M,BH,44.79,reserved,2,"['helmetDetection', 'absBrakes', 'locker']",[],True,22,69.53980799226093,Point,"[-3.726193927424428, 40.452745794271806]"
D844DZJ81H,Vandor,57.11,reserved,1,"['lamps', 'absBrakes']",[],True,15,47.24886219523735,Point,"[-3.647295111770867, 40.424940969272676]"
ECCTR4P37M,Vandor,83.47,reserved,1,"['locker', 'absBrakes']","['stolenHelmet', 'scratches']",True,31,90.63530328265891,Point,"[-3.6442265562313194, 40.409866916753074]"
824XI0GY0G,Vandor,95.31,moving,1,[],[],True,15,48.89888528543423,Point,"[-3.650401626685173, 40.42151484975691]"
U82PWFSGSG,BH,0.84,reserved,1,"['locker', 'absBrakes', 'helmetDetection', 'lamps']",[],True,14,37.71391291205472,Point,"[-3.7063613762672074, 40.4372288837369]"
DMVOU69REF,BH,57.77,out,1,[],[],True,14,44.65840459637219,Point,"[-3.698911481299232, 40.41988034224757]"
Z5OAZL7XVM,Orbea,79.82,reserved,1,[],[],False,18,48.78270195265992,Point,"[-3.7045227395212637, 40.41068528388121]"
2QC9UA3DAW,BH,78.73,moving,1,"['locker', 'helmetDetection']",[],True,19,62.760273226884024,Point,"[-3.704849917201633, 40.42032863578673]"
8CZLQW6MO7,BH,61.51,reserved,1,"['lamps', 'helmetDetection', 'absBrakes']",[],False,24,65.86534093435316,Point,"[-3.6849288612569366, 40.41115248562402]"
NJ135356VD,Vandor,82.58,moving,1,['lamps'],[],True,23,65.03311520238461,Point,"[-3.6571751122015566, 40.45311371223273]"
ZXRS6C3LXF,Orbea,35.99,free,1,"['lamps', 'helmetDetection']",[],True,25,69.26118261715243,Point,"[-3.7192482275753265, 40.45202891943958]"
L6KPBOO9M2,Vandor,57.94,free,2,"['absBrakes', 'helmetDetection']",['brokenLamp'],True,15,43.22788186789045,Point,"[-3.7056226347017396, 40.40451430747489]"
QMOL09TCF7,BH,7.25,reserved,1,"['absBrakes', 'lamps', 'locker', 'helmetDetection']",[],True,14,46.44191060572526,Point,"[-3.7166156140660602, 40.44481516230537]"
N3COHXURZU,BH,23.29,reserved,2,[],[],True,23,74.2311560483258,Point,"[-3.690821951037155, 40.44120326923515]"
TPE45ASKB5,Vandor,40.12,moving,1,[],['stolenHelmet'],True,25,63.74467973586424,Point,"[-3.686778928114058, 40.41681064984924]"
